1,1,"First Name","F",1,,,1,,,0,"False"
2,1,"Last Name","L",1,,,2,,,0,"False"
3,1,"NewLine",,4,,,3,,,0,"False"
4,1,"Street","123 Avian Ave",11,,,6,,,0,"False"
5,1,"Newline",,4,,,5,,,0,"False"
6,1,"NewLine",,4,,,7,,,0,"False"
7,1,"City","Ottawa",6,,,8,,,0,"False"
8,1,"Province/State","Ontario",7,,,13,,,0,"False"
9,1,"NewLine",,4,,,12,,,0,"False"
10,1,"Country","Canada",8,,,11,,,0,"False"
11,1,"NewLine",,4,,,10,,,0,"False"
12,1,"Postal Code/Zip","K0A 0A0",12,,,9,,,0,"False"
13,1,"NewLine",,4,,,4,,,0,"False"
14,1,"NewLine",,4,,,14,,,0,"False"
15,1,"NewLine",,4,,,15,,,0,"False"
16,1,"How are you feeling today?","Just Okay",5,,,17,"Happy, Sad, Just Okay, Amazing",,0,"False"
17,1,"NewLine",,4,,,16,,,0,"False"
18,1,"NewLine",,4,,,18,,,0,"False"
19,1,"NewLine",,4,,,19,,,0,"False"
20,1,"NewLine",,4,,,20,,,0,"False"
21,1,"How was your day today? Briefly describe.",,3,,,21,,,0,"False"
22,1,"NewLine",,4,,,22,,,0,"False"
23,1,"NewLine",,4,,,23,,,0,"False"
24,1,"NewLine",,4,,,24,,,0,"False"
25,1,"Tell me your life story please. Be very detailed.",,2,,,25,,,0,"False"
26,2,"Please enter your firm's statement of responsibility",,2,,,1,,,0,"True"
27,2,"NewLine",,4,,,2,,,0,"True"
